Obs,ItemKey,ItemName,ItemHdr,XpressfeedMnemonic,ItemNameType,ItemType,ItemDesc,ItemLongDesc,DefaultKeyset,DefaultKeysetTag,FileDimKey,FileTag,ItemSeqNum,CalendarType,CalendarFreq,SASDataType,SASFieldSize,SASFormat,ItemHasDataFlg,ItemDensityFlg,ItemActiveFlg
1,1,AAM,AAM,AAM,AM,IT,Assets - Aggregate Miscellaneous,AAM: Aggregate Miscellaneous Assets (Refer to your Compustat documentation for item definitions),2100,BSTD,7,BNK_ANN,8,F,ANNUAL,1,8,14.4,Y,Y,N
2,2,AAMQ,AAMQ,AAMQ,AM,IT,Assets - Aggregate Miscellaneous,AAMQ: Aggregate Miscellaneous Assets (Refer to your Compustat documentation for item definitions),2100,BSTD,8,BNK_QTR,8,F,QUARTERLY,1,8,14.4,Y,Y,N
3,3,ACCHG,ACCHG,ACCHG,AM,IT,Accounting Changes - Cumulative Effect,ACCHG: Accounting Changes - Cumulative Effect (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,8,F,ANNUAL,1,8,14.4,Y,Y,Y
4,4,ACCHGQ,ACCHGQ,ACCHGQ,AM,IT,Accounting Changes - Cumulative Effect,ACCHGQ: Accounting Changes - Cumulative Effect (Refer to your Compustat documentation for item definitions),1,STD,41,IS_QTR,8,F,QUARTERLY,1,8,14.4,Y,Y,Y
5,5,ACCHGQ_DC,ACCHGQ_DC,ACCHGQ_DC,AM,DC,Accounting Changes Cumulative Effect DC,ACCHGQ_DC: Accounting Changes - Cumulative Effect - Quarterly Data Code (Refer to your Compustat documentation for item definitions),1,STD,41,IS_QTR,9,F,QUARTERLY,2,1,$1.,Y,Y,Y
6,6,ACCHGQ_FN,ACCHGQ_FN,ACCHGQ_FN,AM,FN,Accounting Changes - Cumulative Effect FN,ACCHGQ_FN: Accounting Changes - Cumulative Effect Footnote (Refer to your Compustat documentation for item definitions),1,STD,41,IS_QTR,10,F,QUARTERLY,2,4,$4.,Y,Y,N
7,7,ACCHGSA,ACCHGSA,ACCHGSA,AM,IT,Accounting Changes - Cumulative Effect,ACCHGSA: Accounting Changes - Cumulative Effect (Refer to your Compustat documentation for item definitions),1,STD,94,CCM_ALL_SA,8,F,SEMIANN,1,8,14.4,Y,Y,Y
8,8,ACCHGSA_DC,ACCHGSA_DC,ACCHGSA_DC,AM,DC,Accounting Changes - Cumulative Effect DC,ACCHGSA_DC: Accounting Changes - Cumulative Effect Data Code (Refer to your Compustat documentation for item definitions),1,STD,94,CCM_ALL_SA,9,F,SEMIANN,2,1,$1.,Y,Y,Y
9,9,ACCHGY,ACCHGY,ACCHGY,AM,IT,Accounting Changes - Cumulative Effect,ACCHGY: Accounting Changes - Cumulative Effect (Refer to your Compustat documentation for item definitions),1,STD,42,IS_YTD,8,F,YTD,1,8,14.4,Y,Y,Y
10,10,ACCHGY_DC,ACCHGY_DC,ACCHGY_DC,AM,DC,Accounting Changes - Cumulative Effect DC,ACCHGY_DC: Accounting Changes - Cumulative Effect Data Code (Refer to your Compustat documentation for item definitions),1,STD,42,IS_YTD,9,F,YTD,2,1,$1.,Y,Y,Y
11,11,ACCHGY_FN,ACCHGY_FN,ACCHGY_FN,AM,FN,Accounting Changes - Cumulative Effect FN,ACCHGY_FN: Accounting Changes - Cumulative Effect Footnote (Refer to your Compustat documentation for item definitions),1,STD,42,IS_YTD,10,F,YTD,2,4,$4.,Y,Y,N
12,12,ACCHG_DC,ACCHG_DC,ACCHG_DC,AM,DC,Accounting Changes - Cumulative Effect DC,ACCHG_DC: Accounting Changes - Cumulative Effect Data Code (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,9,F,ANNUAL,2,1,$1.,Y,Y,N
13,13,ACCHG_FN,ACCHG_FN,ACCHG_FN,AM,FN,Accounting Changes - Cumulative Effect FN,ACCHG_FN: Accounting Changes - Cumulative Effect Footnote (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,10,F,ANNUAL,2,4,$4.,Y,Y,N
14,14,ACCO,ACCO,ACCO,AM,IT,Acceptances Outstanding,ACCO: Acceptances Outstanding (Refer to your Compustat documentation for item definitions),4,FS,4,BAL_ANN_FS,8,F,ANNUAL,1,8,14.4,Y,Y,Y
15,15,ACCOQ,ACCOQ,ACCOQ,AM,IT,Acceptances Outstanding,ACCOQ: Acceptances Outstanding (Refer to your Compustat documentation for item definitions),1,STD,6,BAL_QTR,8,F,QUARTERLY,1,8,14.4,Y,Y,Y
16,16,ACCOQ_DC,ACCOQ_DC,ACCOQ_DC,AM,DC,Acceptances Outstanding DC,ACCOQ_DC: Acceptances Outstanding Data Code (Refer to your Compustat documentation for item definitions),1,STD,6,BAL_QTR,9,F,QUARTERLY,2,1,$1.,Y,Y,N
17,17,ACCO_DC,ACCO_DC,ACCO_DC,AM,DC,Acceptances Outstanding DC,ACCO_DC: Acceptances Outstanding Data Code (Refer to your Compustat documentation for item definitions),4,FS,4,BAL_ANN_FS,9,F,ANNUAL,2,1,$1.,Y,Y,N
18,18,ACCRT,ACCRT,ACCRT,AM,IT,ARO Accretion Expense,ACCRT: ARO Accretion Expense (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,11,F,ANNUAL,1,8,14.4,Y,Y,Y
19,19,ACCRT_DC,ACCRT_DC,ACCRT_DC,AM,DC,ARO Accretion Expense DC,ACCRT_DC: ARO Accretion Expense Data Code (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,12,F,ANNUAL,2,1,$1.,Y,Y,N
20,20,ACCTCHG,ACCTCHG,ACCTCHG,AM,IT,Adoption of Accounting Changes,ACCTCHG: Adoption of Accounting Changes (Refer to your Compustat documentation for item definitions),1,STD,70,DES_ANN,8,F,ANNUAL,2,8,$8.,Y,Y,Y
21,21,ACCTCHGQ,ACCTCHGQ,ACCTCHGQ,AM,IT,Adoption of Accounting Changes,ACCTCHGQ: Adoption of Accounting Changes (Refer to your Compustat documentation for item definitions),1,STD,71,DES_QTR,8,F,QUARTERLY,2,8,$8.,Y,Y,Y
22,22,ACCTSTD,ACCTSTD,ACCTSTD,AM,IT,Accounting Standard,ACCTSTD: Accounting Standard (Refer to your Compustat documentation for item definitions),1,STD,70,DES_ANN,9,F,ANNUAL,2,2,$2.,Y,Y,Y
23,23,ACDO,ACDO,ACDO,AM,IT,Current Assets of Discontinued Operations,ACDO: Current Assets of Discontinued Operations (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,8,F,ANNUAL,1,8,14.4,Y,Y,Y
24,24,ACDO_DC,ACDO_DC,ACDO_DC,AM,DC,Current Assets of Discontinued Operations DC,ACDO_DC: Current Assets of Discontinued Operations Data Code (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,9,F,ANNUAL,2,1,$1.,Y,Y,R
25,25,ACO,ACO,ACO,AM,IT,Current Assets Other Total,ACO: Current Assets Other Total (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,10,F,ANNUAL,1,8,14.4,Y,Y,Y
26,26,ACODO,ACODO,ACODO,AM,IT,Other Current Assets Excl Discontinued Operations,ACODO: Other Current Assets Excl Discontinued Operations (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,12,F,ANNUAL,1,8,14.4,Y,Y,Y
27,27,ACOFS,ACOFS,ACOFS,AM,IT,Other Current Assets - Total - FS,ACOFS: Other Current Assets - Total - FS (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,13,F,ANNUAL,1,8,14.4,N,N,N
28,28,ACOFS_DC,ACOFS_DC,ACOFS_DC,AM,DC,Other Current Assets - Total - FS (Memo) DC,ACOFS_DC: Other Current Assets - Total - FS (Memo) Data Code (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,14,F,ANNUAL,2,1,$1.,N,N,N
29,29,ACOFS_FN,ACOFS_FN,ACOFS_FN,AM,FN,Other Current Assets - Total - FS (Memo) FN,ACOFS_FN: Other Current Assets - Total - FS (Memo) Footnote (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,15,F,ANNUAL,2,4,$4.,N,N,N
30,30,ACOMINC,ACOMINC,ACOMINC,AM,IT,Accumulated Other Comprehensive Income (Loss),ACOMINC: Accumulated Other Comprehensive Income (Loss) (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,16,F,ANNUAL,1,8,14.4,Y,Y,Y
31,31,ACOMINCQ,ACOMINCQ,ACOMINCQ,AM,IT,Accumulated Other Comprehensive Income (Loss),ACOMINCQ: Accumulated Other Comprehensive Income (Loss) (Refer to your Compustat documentation for item definitions),1,STD,6,BAL_QTR,10,F,QUARTERLY,1,8,14.4,Y,Y,Y
32,32,ACOMINCQ_DC,ACOMINCQ_DC,ACOMINCQ_DC,AM,DC,Accumulated Other Comprehensive Income (Loss) DC,ACOMINCQ_DC: Accumulated Other Comprehensive Income (Loss) Data Code (Refer to your Compustat documentation for item definitions),1,STD,6,BAL_QTR,11,F,QUARTERLY,2,1,$1.,Y,Y,N
33,33,ACOMINC_DC,ACOMINC_DC,ACOMINC_DC,AM,DC,Accumulated Other Comprehensive Income (Loss) DC,ACOMINC_DC: Accumulated Other Comprehensive Income (Loss) Data Code (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,17,F,ANNUAL,2,1,$1.,Y,Y,N
34,34,ACOQ,ACOQ,ACOQ,AM,IT,Current Assets - Other - Total,ACOQ: Current Assets - Other - Total (Refer to your Compustat documentation for item definitions),1,STD,6,BAL_QTR,12,F,QUARTERLY,1,8,14.4,Y,Y,Y
35,35,ACOQ_DC,ACOQ_DC,ACOQ_DC,AM,DC,Current Assets - Other - Total DC,ACOQ_DC: Current Assets - Other - Total - Quarterly - Data Code (Refer to your Compustat documentation for item definitions),1,STD,6,BAL_QTR,13,F,QUARTERLY,2,1,$1.,Y,Y,N
36,36,ACOX,ACOX,ACOX,AM,IT,Current Assets - Other - Sundry,ACOX: Current Assets - Other - Sundry (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,18,F,ANNUAL,1,8,14.4,Y,Y,Y
37,37,ACOXAR,ACOXAR,ACOXAR,AM,IT,Current Assets - Other - Total As Reported,ACOXAR: Current Assets - Other - Total As Reported (Refer to your Compustat documentation for item definitions),4,FS,4,BAL_ANN_FS,10,F,ANNUAL,1,8,14.4,Y,Y,N
38,38,ACOXFS,ACOXFS,ACOXFS,AM,IT,Other Current Assets - FS,ACOXFS: Other Current Assets - FS (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,20,F,ANNUAL,1,8,14.4,N,N,N
39,39,ACOXFS_DC,ACOXFS_DC,ACOXFS_DC,AM,DC,Other Current Assets - FS (Memo) DC,ACOXFS_DC: Other Current Assets - FS (Memo) Data Code (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,21,F,ANNUAL,2,1,$1.,N,N,N
40,40,ACOXFS_FN,ACOXFS_FN,ACOXFS_FN,AM,FN,Other Current Assets - FS (Memo) FN,ACOXFS_FN: Other Current Assets - FS (Memo) Footnote (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,22,F,ANNUAL,2,4,$4.,N,N,N
41,41,ACOX_DC,ACOX_DC,ACOX_DC,AM,DC,Current Assets - Other - Sundry DC,ACOX_DC: Current Assets - Other - Sundry Data Code (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,19,F,ANNUAL,2,1,$1.,Y,Y,N
42,42,ACO_DC,ACO_DC,ACO_DC,AM,DC,Current Assets - Other - Total DC,ACO_DC: Current Assets - Other - Total Data Code (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,11,F,ANNUAL,2,1,$1.,Y,Y,N
43,43,ACQAO,ACQAO,ACQAO,AM,IT,Acquired Assets - Other Long-Term,ACQAO: Acquired Assets - Other Long-Term (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,23,F,ANNUAL,1,8,14.4,Y,Y,Y
44,44,ACQCSHI,ACQCSHI,ACQCSHI,AM,IT,Shares Issued for Acquisition,ACQCSHI: Shares Issued for Acquisition (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,24,F,ANNUAL,1,8,14.4,Y,Y,Y
45,45,ACQGDWL,ACQGDWL,ACQGDWL,AM,IT,Acquired Assets - Goodwill,ACQGDWL: Acquired Assets - Goodwill (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,25,F,ANNUAL,1,8,14.4,Y,Y,Y
46,46,ACQIC,ACQIC,ACQIC,AM,IT,Acquisitions - Current Income Contribution,ACQIC: Acquisitions - Current Income Contribution (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,26,F,ANNUAL,1,8,14.4,Y,Y,Y
47,47,ACQINTAN,ACQINTAN,ACQINTAN,AM,IT,Acquired Assets - Intangibles,ACQINTAN: Acquired Assets - Intangibles (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,27,F,ANNUAL,1,8,14.4,Y,Y,Y
48,48,ACQINVT,ACQINVT,ACQINVT,AM,IT,Acquired Assets - Inventory,ACQINVT: Acquired Assets - Inventory (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,28,F,ANNUAL,1,8,14.4,Y,Y,Y
49,49,ACQLNTAL,ACQLNTAL,ACQLNTAL,AM,IT,Acquired Loans,ACQLNTAL: Acquired Loans (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,29,F,ANNUAL,1,8,14.4,Y,Y,N
50,50,ACQMETH,ACQMETH,ACQMETH,AM,IT,Acquisition Method,ACQMETH: Acquisition Method (Refer to your Compustat documentation for item definitions),1,STD,70,DES_ANN,10,F,ANNUAL,2,2,$2.,Y,Y,Y
51,51,ACQPPE,ACQPPE,ACQPPE,AM,IT,"Acquired Assets - Property, Plant & Equipment","ACQPPE: Acquired Assets - Property, Plant & Equipment (Refer to your Compustat documentation for item definitions)",1,STD,5,BAL_ANN_INDL,30,F,ANNUAL,1,8,14.4,Y,Y,Y
52,52,ACQSC,ACQSC,ACQSC,AM,IT,Acquisitions - Current Sales Contribution,ACQSC: Acquisitions - Current Sales Contribution (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,31,F,ANNUAL,1,8,14.4,Y,Y,Y
53,53,ACT,ACT,ACT,AM,IT,Current Assets - Total,ACT: Current Assets - Total (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,32,F,ANNUAL,1,8,14.4,Y,Y,Y
54,54,ACTQ,ACTQ,ACTQ,AM,IT,Current Assets - Total,ACTQ: Current Assets - Total (Refer to your Compustat documentation for item definitions),1,STD,6,BAL_QTR,14,F,QUARTERLY,1,8,14.4,Y,Y,Y
55,55,ADD1,ADD1,ADD1,AM,SF,Address Line 1,ADD1: Address Line 1 (Refer to your Compustat documentation for item definitions),0,ZERO,15,COMPANY,35,S,NOCAL,2,65,$65.,Y,Y,Y
56,56,ADD2,ADD2,ADD2,AM,SF,Address Line 2,ADD2: Address Line 2 (Refer to your Compustat documentation for item definitions),0,ZERO,15,COMPANY,36,S,NOCAL,2,65,$65.,Y,Y,R
57,57,ADD3,ADD3,ADD3,AM,SF,Address Line 3,ADD3: Address Line 3 (Refer to your Compustat documentation for item definitions),0,ZERO,15,COMPANY,37,S,NOCAL,2,65,$65.,Y,Y,N
58,58,ADD4,ADD4,ADD4,AM,SF,Address Line 4,ADD4: Address Line 4 (Refer to your Compustat documentation for item definitions),0,ZERO,15,COMPANY,38,S,NOCAL,2,65,$65.,Y,Y,N
59,59,ADDZIP,ADDZIP,ADDZIP,AM,SF,Postal Code,ADDZIP: Postal Code (Refer to your Compustat documentation for item definitions),0,ZERO,15,COMPANY,39,S,NOCAL,2,24,$24.,Y,Y,Y
60,60,ADJEX,ADJEX,ADJEX,AM,SF,Cumulative Adjustment Factor by Ex-Date,ADJEX: Cumulative Adjustment Factor by Ex-Date (Refer to your Compustat documentation for item definitions),0,ZERO,1,ADJFACT,7,S,NOCAL,1,8,BEST16.,Y,Y,Y
61,61,ADJPAY,ADJPAY,ADJPAY,AM,SF,Cumulative Adjustment Factor by Pay-Date,ADJPAY: Cumulative Adjustment Factor by Pay-Date (Refer to your Compustat documentation for item definitions),0,ZERO,1,ADJFACT,8,S,NOCAL,1,8,BEST16.,Y,Y,Y
62,62,ADPAC,ADPAC,ADPAC,AM,IT,Amortization of Deferred Policy Acquisition Costs,ADPAC: Amortization of Deferred Policy Acquisition Costs (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,8,F,ANNUAL,1,8,14.4,Y,Y,Y
63,63,ADPAC_DC,ADPAC_DC,ADPAC_DC,AM,DC,Amortization of Deferred Policy Acquisition Costs DC,ADPAC_DC: Amortization of Deferred Policy Acquisition Costs Data Code (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,9,F,ANNUAL,2,1,$1.,Y,Y,N
64,64,ADRR,ADRR,ADRR,AM,IT,ADR Ratio,ADRR: ADR Ratio (Refer to your Compustat documentation for item definitions),1,STD,70,DES_ANN,11,F,ANNUAL,1,8,14.4,Y,Y,Y
65,65,ADRRQ,ADRRQ,ADRRQ,AM,IT,ADR Ratio,ADRRQ: ADR Ratio (Refer to your Compustat documentation for item definitions),1,STD,71,DES_QTR,9,F,QUARTERLY,1,8,14.4,Y,Y,Y
66,66,AEDI,AEDI,AEDI,AM,IT,Accrued Expenses & Deferred Income,AEDI: Accrued Expenses and Deferred Income (Refer to your Compustat documentation for item definitions),4,FS,4,BAL_ANN_FS,11,F,ANNUAL,1,8,14.4,Y,Y,N
67,67,AEDI_DC,AEDI_DC,AEDI_DC,AM,DC,Accrued Expenses & Deferred Income DC,AEDI_DC: Accrued Expenses and Deferred Income Data Code (Refer to your Compustat documentation for item definitions),4,FS,4,BAL_ANN_FS,12,F,ANNUAL,2,1,$1.,Y,Y,Y
68,68,AFUDCC,AFUDCC,AFUDCC,AM,IT,Allowance for Funds Used During Construction (Cash Flow),AFUDCC: Allowance for Funds Used During Construction (Cash Flow) (Refer to your Compustat documentation for item definitions),1,STD,12,CF_ANN,8,F,ANNUAL,1,8,14.4,Y,Y,N
69,69,AFUDCCY,AFUDCCY,AFUDCCY,AM,IT,Allowance for Funds Used During Construction (Cash Flow),AFUDCCY: Allowance for Funds Used During Construction (Cash Flow) (Refer to your Compustat documentation for item definitions),1,STD,14,CF_YTD,8,F,YTD,1,8,14.4,Y,Y,N
70,70,AFUDCC_FN,AFUDCC_FN,AFUDCC_FN,AM,FN,Allowance for Funds Used During Construction (Cash Flow) FN,AFUDCC_FN: Allowance for Funds Used During Construction (Cash Flow) Footnote (Refer to your Compustat documentation for item definitions),1,STD,12,CF_ANN,9,F,ANNUAL,2,4,$4.,Y,Y,N
71,71,AFUDCI,AFUDCI,AFUDCI,AM,IT,Allowance for Funds Used During Construction (Investing) (Cash Flow),AFUDCI: Allowance for Funds Used During Construction (Investing) (Cash Flow) (Refer to your Compustat documentation for item definitions),1,STD,12,CF_ANN,10,F,ANNUAL,1,8,14.4,Y,Y,N
72,72,AFUDCIY,AFUDCIY,AFUDCIY,AM,IT,Allowance for Funds Used During Construction (Investing) (Cash Flow),AFUDCIY: Allowance for Funds Used During Construction (Investing) (Cash Flow) (Refer to your Compustat documentation for item definitions),1,STD,14,CF_YTD,9,F,YTD,1,8,14.4,Y,Y,N
73,73,AHS,AHS,AHS,AM,IT,Assets Held For Sale,AHS: Assets Held For Sale (Refer to your Compustat documentation for item definitions),2100,BSTD,7,BNK_ANN,9,F,ANNUAL,1,8,14.4,Y,Y,Y
74,74,AHSQ,AHSQ,AHSQ,AM,IT,Assets Held for Sale,AHSQ: Assets Held for Sale (Refer to your Compustat documentation for item definitions),2100,BSTD,8,BNK_QTR,9,F,QUARTERLY,1,8,14.4,Y,Y,Y
75,75,AHSQ_DC,AHSQ_DC,AHSQ_DC,AM,DC,Assets Held for Sale DC,AHSQ_DC: Assets Held for Sale DC (Refer to your Compustat documentation for item definitions),2100,BSTD,8,BNK_QTR,10,F,QUARTERLY,2,1,$1.,Y,Y,N
76,76,AIRAFXPG,AIRAFXPG,AIRAFXPG,AM,IT,Avg Fuel Price p/ Gallon (Cents),AIRAFXPG: Avg Fuel Price p/ Gallon (Cents) (Refer to your Compustat documentation for item definitions),1,STD,64,OTH_ANN,8,F,ANNUAL,1,8,14.4,Y,Y,N
77,77,AIRAFXPGQ,AIRAFXPGQ,AIRAFXPGQ,AM,IT,Avg Fuel Price p/ Gallon (Cents),AIRAFXPGQ: Avg Fuel Price p/ Gallon (Cents) (Refer to your Compustat documentation for item definitions),1,STD,65,OTH_QTR,8,F,QUARTERLY,1,8,14.4,Y,Y,Y
78,78,AIRAFXPGY,AIRAFXPGY,AIRAFXPGY,AM,IT,Avg Fuel Price p/ Gallon (Cents),AIRAFXPGY: Avg Fuel Price p/ Gallon (Cents) (Refer to your Compustat documentation for item definitions),1,STD,66,OTH_YTD,8,F,YTD,1,8,14.4,Y,Y,Y
79,79,AIRASK,AIRASK,AIRASK,AM,IT,Available Seat Kilometers (ASKs),AIRASK: Available Seat Kilometers (ASKs) (Refer to your Compustat documentation for item definitions),1,STD,64,OTH_ANN,9,F,ANNUAL,1,8,14.4,Y,Y,N
80,80,AIRASKQ,AIRASKQ,AIRASKQ,AM,IT,Available Seat Kilometers (ASKs),AIRASKQ: Available Seat Kilometers (ASKs) (Refer to your Compustat documentation for item definitions),1,STD,65,OTH_QTR,9,F,QUARTERLY,1,8,14.4,Y,Y,Y
81,81,AIRASKQ_DC,AIRASKQ_DC,AIRASKQ_DC,AM,DC,Available Seat Kilometers (ASKs) DC,AIRASKQ_DC: Available Seat Kilometers (ASKs) Data Code (Refer to your Compustat documentation for item definitions),1,STD,65,OTH_QTR,10,F,QUARTERLY,2,1,$1.,Y,Y,N
82,82,AIRASKY,AIRASKY,AIRASKY,AM,IT,Available Seat Kilometers (ASKs),AIRASKY: Available Seat Kilometers (ASKs) (Refer to your Compustat documentation for item definitions),1,STD,66,OTH_YTD,9,F,YTD,1,8,14.4,Y,Y,Y
83,83,AIRASKY_DC,AIRASKY_DC,AIRASKY_DC,AM,DC,Available Seat Kilometers (ASKs) DC,AIRASKY_DC: Available Seat Kilometers (ASKs) Data Code (Refer to your Compustat documentation for item definitions),1,STD,66,OTH_YTD,10,F,YTD,2,1,$1.,Y,Y,N
84,84,AIRASM,AIRASM,AIRASM,AM,IT,Available Seat Miles (ASMs),AIRASM: Available Seat Miles (ASMs) (Refer to your Compustat documentation for item definitions),1,STD,64,OTH_ANN,10,F,ANNUAL,1,8,14.4,Y,Y,Y
85,85,AIRASMQ,AIRASMQ,AIRASMQ,AM,IT,Available Seat Miles (ASMs),AIRASMQ: Available Seat Miles (ASMs) (Refer to your Compustat documentation for item definitions),1,STD,65,OTH_QTR,11,F,QUARTERLY,1,8,14.4,Y,Y,Y
86,86,AIRASMQ_DC,AIRASMQ_DC,AIRASMQ_DC,AM,DC,Available Seat Miles (ASMs) DC,AIRASMQ_DC: Available Seat Miles (ASMs) Data Code (Refer to your Compustat documentation for item definitions),1,STD,65,OTH_QTR,12,F,QUARTERLY,2,1,$1.,Y,Y,N
